STAR_ID_g,RA_g,DEC_g,MEDIAN_g,MEAN_g,CLIPPED_MEAN_g,CLIPPED_SIGMA_g,N_NOTCLIPPED_g,RESIDUALS_g,CLIPPED_MEAN_ERROR_g,STAR_ID_r,RA_r,DEC_r,MEDIAN_r,MEAN_r,CLIPPED_MEAN_r,CLIPPED_SIGMA_r,N_NOTCLIPPED_r,RESIDUALS_r,CLIPPED_MEAN_ERROR_r,STAR_ID_i,RA_i,DEC_i,MEDIAN_i,MEAN_i,CLIPPED_MEAN_i,CLIPPED_SIGMA_i,N_NOTCLIPPED_i,RESIDUALS_i,CLIPPED_MEAN_ERROR_i,STAR_ID_z,RA_z,DEC_z,MEDIAN_z,MEAN_z,CLIPPED_MEAN_z,CLIPPED_SIGMA_z,N_NOTCLIPPED_z,RESIDUALS_z,CLIPPED_MEAN_ERROR_z,STAR_ID_Y,RA_Y,DEC_Y,MEDIAN_Y,MEAN_Y,CLIPPED_MEAN_Y,CLIPPED_SIGMA_Y,N_NOTCLIPPED_Y,RESIDUALS_Y,CLIPPED_MEAN_ERROR_Y
573,30.8729408571,0.469961428571,17.2214,17.2068857143,17.2068857143,0.0281781287309,7,0.0264448979592,0.0106503315762,2210,30.8729434286,0.469959857143,15.7414,15.7385142857,15.7385142857,0.0179704065119,7,0.0161265306122,0.00679217522704,1741,30.8729317143,0.469956714286,15.0092,15.0075428571,15.0075428571,0.0119086831637,7,0.00997959183674,0.00450105915621,605,30.8729322857,0.469944714286,14.6022,14.6067,14.6067,0.00759793204948,7,0.00722857142857,0.00287174838304,1045,30.8729376667,0.469963666667,14.4393,14.4426444444,14.4426444444,0.00808099431604,9,0.00723703703704,0.00269366477201
574,30.8723084286,0.400447857143,17.905,17.9049285714,17.9049285714,0.0216797281405,7,0.0160244897959,0.0081941670216,2211,30.8723018571,0.400452,17.3499,17.3537571429,17.3537571429,0.0103212481447,7,0.00943673469388,0.00390106511582,1742,30.8722934286,0.400444428571,17.156,17.155,17.155,0.0115781814511,7,0.00854285714286,0.00437614125056,606,30.8722932857,0.400444571429,17.0717,17.0708285714,17.0708285714,0.0131394405497,7,0.0105387755102,0.004966241723,1046,30.8722942222,0.400449555556,17.0883,17.0795,17.0795,0.0160725438766,9,0.0132,0.00535751462555
575,30.8633631429,0.382223285714,14.5183,14.5188142857,14.5188142857,0.00903065075514,7,0.00710204081633,0.0034132651536,2212,30.863356,0.382224428571,14.1762,14.1685,14.1685,0.0182362276801,7,0.0154571428571,0.00689264618478,1743,30.863357,0.382222142857,14.0584,14.0602428571,14.0602428571,0.00552910665552,7,0.00490612244898,0.00208980588327,607,30.8633568571,0.382227714286,14.0625,14.0552285714,14.0552285714,0.0193852458097,7,0.0174816326531,0.00732693421661,1047,30.863353,0.382229333333,14.1467,14.1467888889,14.1467888889,0.0103385411011,9,0.00858765432099,0.00344618036703
576,29.74242,0.503771285714,16.7069,16.7056714286,16.7056714286,0.0153477512811,7,0.0127469387755,0.00580090472485,780,29.7424344286,0.503745857143,16.326,16.3263142857,16.3263142857,0.00746179384243,7,0.0059306122449,0.00282029297736,1980,29.742441,0.503743571429,16.1914,16.1921714286,16.1921714286,0.0101613714324,7,0.00819591836735,0.00384063739851,232,29.7424452857,0.503749,16.1622,16.1621571429,16.1621571429,0.0146862284513,7,0.0105346938776,0.00555087259707,1288,29.7424491111,0.503745,16.1977,16.2015333333,16.2015333333,0.012073018586,9,0.0110814814815,0.00402433952866
577,29.7408462,0.6128776,18.9933,18.98536,18.98536,0.0342054732463,5,0.028128,0.0152971526762,781,29.7408661429,0.612830714286,18.0307,18.0294142857,18.0294142857,0.0112208261182,7,0.00835510204082,0.0042410736305,1981,29.7408728571,0.612821142857,17.6629,17.6604,17.6604,0.00704759330755,7,0.00608571428571,0.00266373989047,233,29.7408764286,0.612831571429,17.4572,17.4571571429,17.4571571429,0.00860512424462,7,0.00687755102041,0.0032524312503,1289,29.7408716667,0.612821555556,17.3762,17.3710111111,17.3710111111,0.0197521556879,9,0.0174987654321,0.00658405189598
578,29.7348012857,0.606724571429,14.9785,14.9773571429,14.9773571429,0.0035391109226,7,0.00316326530612,0.00133765819478,782,29.7348071429,0.606697428571,14.6593,14.6584857143,14.6584857143,0.00915414481789,7,0.00775918367347,0.00345994152194,1982,29.7348088571,0.606689571429,14.5452,14.5425571429,14.5425571429,0.00833698423427,7,0.00673469387755,0.00315108385259,234,29.734814,0.606694857143,14.5183,14.5202,14.5202,0.0110924684874,7,0.008,0.00419255900619,1290,29.7348165556,0.606692111111,14.5752,14.5706444444,14.5706444444,0.0142907204632,9,0.00951851851852,0.00476357348774
579,29.7347131429,0.615142428571,17.0922,17.0862571429,17.0862571429,0.00898870038959,7,0.00830612244898,0.00339740940579,783,29.7347194286,0.615112,16.5579,16.5538,16.5538,0.013116837598,7,0.00877142857143,0.00495769861026,1983,29.7347261429,0.615105714286,16.3766,16.3765285714,16.3765285714,0.00979558417797,7,0.0079387755102,0.00370238281165,235,29.7347262857,0.615111571429,16.2843,16.2845,16.2845,0.00764647444438,7,0.00588571428571,0.00289009568375,1291,29.7347297778,0.615107444444,16.2924,16.2873333333,16.2873333333,0.0124461506767,9,0.00866666666667,0.00414871689223
580,29.7218976667,0.629897,18.38125,18.38875,18.38875,0.0204772027712,6,0.0185333333333,0.00835978302483,784,29.7219027143,0.629864142857,17.7839,17.7832285714,17.7832285714,0.0136553196631,7,0.00968163265306,0.00516122570024,1984,29.7219084286,0.629866,17.5135,17.5078,17.5078,0.0246647232182,7,0.0196571428571,0.00932238911307,236,29.7219088571,0.629874,17.399,17.3940857143,17.3940857143,0.0205480223985,7,0.0180163265306,0.00776642245724,1292,29.7219163333,0.629866,17.3624,17.3595888889,17.3595888889,0.0225090818434,9,0.0154592592593,0.00750302728113
581,29.7170144286,0.562212714286,18.8946,18.8748571429,18.8748571429,0.0302985080794,7,0.0294489795918,0.0114517596392,785,29.7170208571,0.562174285714,17.7622,17.7599285714,17.7599285714,0.0108745724758,7,0.00916734693878,0.004110202055,1985,29.7170325714,0.562163285714,17.3136,17.3123285714,17.3123285714,0.00702804876105,7,0.00539591836735,0.00265635274626,237,29.7170294286,0.562172714286,17.0584,17.0619,17.0619,0.0121020659393,7,0.0103142857143,0.00457415097508,1293,29.717036,0.562173333333,16.9562,16.9566777778,16.9566777778,0.0206034936508,9,0.0177308641975,0.00686783121692
582,29.7101935714,0.499489142857,15.847,15.8442714286,15.8442714286,0.00559431198009,7,0.00540408163265,0.0021144511794,787,29.710209,0.499457142857,14.6986,14.7013,14.7013,0.00820679161253,7,0.00751428571429,0.00310187566692,1987,29.7102202857,0.499452,14.2545,14.2564857143,14.2564857143,0.00488888785817,7,0.00420816326531,0.00184782592292,239,29.7102187143,0.499457142857,13.9935,13.9903428571,13.9903428571,0.007334430963,7,0.00626530612245,0.00277215433375,1295,29.7102225556,0.499456333333,13.909,13.9043888889,13.9043888889,0.0100584342104,9,0.00894567901235,0.00335281140347
